nacchoid,nutrition,tobacco,rurality,population
KY010,1,1,suburb,51262
KY011,0,1,suburb,14447
KY012,1,1,urban,48832
KY013,1,1,suburb,14545
KY014,1,1,rural,38108
KY015,1,1,suburb,49880
KY018,1,1,urban,36308
KY020,1,1,suburb,46376
KY021,1,1,urban,50815
KY022,1,1,suburb,23262
KY024,1,1,suburb,31798
KY025,1,1,suburb,208253
KY028,1,1,urban,310797
KY029,1,1,suburb,24445
KY030,1,1,urban,228363
KY031,1,1,suburb,34895
KY032,1,1,urban,760026
KY035,1,1,suburb,30953
KY037,1,1,rural,10704
KY038,1,1,suburb,31207
KY040,1,1,urban,407050
KY041,1,1,urban,63490
KY042,NA,NA,rural,53880
KY045,1,1,suburb,89533
KY047,1,1,rural,44542
KY048,1,1,rural,12520
KY049,1,1,suburb,76917
KY051,1,1,suburb,35503
KY052,1,1,suburb,25563
KY053,1,1,suburb,27474
KY056,1,1,urban,8406
KY057,1,1,suburb,21319
KY058,1,1,suburb,16858
KY060,0,1,rural,19888
KY071,1,1,rural,27778
KY073,1,1,suburb,28163
KY077,1,1,suburb,15804
KY107,1,1,suburb,26194
KY130,1,1,suburb,38282
KY133,1,1,suburb,37618
LA017,1,1,urban,679108
LA018,0,1,urban,308348
LA019,1,1,urban,565534
LA024,1,1,urban,297271
LA038,1,0,urban,405672
LA079,1,1,urban,887892
MA005,0,0,urban,28772
MA008,0,0,suburb,39774
MA009,0,1,urban,35085
MA010,1,1,urban,44461
MA012,0,0,suburb,11621
MA015,0,0,urban,4464
MA016,0,1,urban,214914
MA017,0,1,urban,44529
MA020,1,1,urban,14205
MA021,0,0,urban,16770
MA022,0,0,urban,25496
MA023,NA,NA,urban,6580
MA030,1,1,urban,655884
MA033,0,1,urban,4475
MA035,NA,NA,urban,9954
MA036,0,0,urban,27472
MA038,0,1,urban,94779
MA042,0,0,urban,25683
MA043,1,1,urban,109694
MA047,0,1,suburb,1246
MA050,0,1,urban,34960
MA051,1,1,urban,38861
MA057,0,1,urban,44231
MA058,0,1,urban,17926
MA061,1,1,urban,8334
MA062,0,0,suburb,1656
MA067,0,1,urban,27460
MA068,0,0,urban,34415
MA071,0,0,urban,14037
MA079,NA,NA,urban,15384
MA082,0,1,urban,16123
MA085,0,1,urban,16036
MA089,0,0,urban,3637
MA093,1,1,urban,40445
MA100,NA,NA,urban,20381
MA101,0,0,rural,323
MA106,1,1,urban,18371
MA109,0,0,suburb,6945
MA115,NA,0,urban,5195
MA117,NA,1,urban,14360
MA118,0,0,urban,10441
MA119,0,0,urban,3010
MA127,0,0,urban,18352
MA137,NA,NA,urban,23592
MA138,0,0,urban,14388
MA139,1,1,urban,40124
MA141,0,1,urban,16311
MA143,0,1,urban,19754
MA146,0,1,urban,13661
MA150,0,0,urban,78197
MA152,0,1,urban,41150
MA156,0,0,urban,15882
MA157,0,0,urban,109945
MA159,1,1,urban,92137
MA162,0,1,urban,5336
MA164,0,0,urban,20454
MA165,0,0,urban,39612
MA166,0,1,urban,25635
MA175,0,0,urban,6724
MA177,0,0,urban,24103
MA178,0,0,urban,528
MA179,1,1,urban,9578
MA182,1,1,urban,8099
MA184,0,1,urban,27360
MA185,0,0,suburb,120
MA188,NA,NA,urban,860
MA190,0,1,urban,3479
MA193,0,1,urban,35523
MA194,1,1,urban,30205
MA203,0,1,suburb,13354
MA205,0,1,urban,28908
MA211,0,0,urban,19396
MA213,1,1,urban,29056
MA215,0,0,urban,1921
MA218,0,0,rural,1585
MA223,0,1,urban,18197
MA227,0,0,suburb,1715
MA230,NA,1,urban,8910
MA232,0,0,urban,2873
MA234,0,0,suburb,2980
MA236,1,1,urban,93397
MA238,0,0,urban,13691
MA239,1,1,urban,25508
MA240,0,0,urban,11926
MA241,1,1,urban,54157
MA247,0,0,urban,1269
MA248,NA,1,urban,1787
MA250,0,1,urban,42824
MA252,1,0,rural,919
MA254,0,1,urban,27921
MA256,0,1,urban,18413
MA257,0,0,urban,14683
MA258,1,1,urban,18121
MA259,0,0,rural,3208
MA262,0,0,urban,36580
MA264,1,1,urban,78901
MA265,0,1,urban,17691
MA267,NA,0,urban,16825
MA269,0,0,urban,9689
MA270,0,0,urban,11805
MA274,1,1,urban,28396
MA282,0,0,urban,56544
MA283,0,0,urban,8155
MA285,0,0,suburb,4128
MA287,0,1,urban,6505
MA290,0,0,urban,12149
MA292,0,0,urban,7699
MA294,NA,1,urban,26774
MA296,1,1,urban,24933
MA299,0,0,urban,5178
MA303,0,1,urban,13541
MA304,0,1,urban,16844
MA305,0,0,urban,11992
MA306,0,0,urban,2754
MA311,0,0,urban,4495
MA313,0,1,urban,28627
MA316,0,1,urban,18756
MA317,1,1,urban,41608
MA318,1,1,urban,23678
MA323,0,1,urban,14979
MA324,1,1,urban,55643
MA326,1,1,urban,14509
MA330,0,1,urban,183016
MA332,0,0,suburb,8325
MA338,0,0,urban,13749
MA342,0,0,suburb,1000
MA348,0,0,urban,40952
MA350,0,1,urban,17312
MA351,0,0,urban,9091
MA356,0,0,urban,5165
MD002,1,1,suburb,72952
MD003,1,1,urban,560133
MD004,1,1,urban,622793
MD005,1,1,urban,826925
MD006,0,1,urban,90613
MD007,1,1,suburb,32538
MD008,1,1,urban,167830
MD009,NA,NA,urban,102383
MD010,1,1,urban,154747
MD011,0,1,suburb,32578
MD012,0,1,urban,243675
MD013,1,1,suburb,29679
MD014,1,1,urban,250105
MD015,1,1,urban,309284
MD016,1,1,suburb,19820
MD017,NA,NA,urban,1030447
MD018,1,1,urban,904430
MD019,0,1,rural,48804
MD020,1,1,suburb,25859
MD021,0,1,suburb,110382
MD022,1,NA,suburb,37643
MD023,1,1,urban,149573
MD024,0,1,urban,101539
MD025,1,1,rural,51675
ME003,1,1,urban,32568
ME009,1,1,urban,66666
ME029,0,0,suburb,69447
ME030,0,0,suburb,172275
ME031,0,0,urban,221131
